Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,30.25,31.40,29.70,30.00,29.972095671981776765,3512,28,105262.00,3512,100.00,1.70,-0.25
4-January-2021,31.80,32.35,30.25,30.85,31.399877400899060073,4894,25,153671.00,4894,100.00,2.10,-0.95
1-January-2021,31.85,31.85,30.30,31.80,30.637588652482269503,1410,15,43199.00,1410,100.00,1.55,-0.05
31-December-2020,31.95,32.00,30.40,31.85,30.585945802337938363,7528,31,230251.00,7528,100.00,1.60,-0.10
30-December-2020,32.00,34.00,31.95,32.00,31.991945739720220432,4718,30,150938.00,4718,100.00,2.05,0.00
29-December-2020,33.65,33.65,32.00,33.60,32.184928873510188389,2601,12,83713.00,2601,100.00,1.65,-0.05
28-December-2020,33.80,33.80,33.65,33.65,33.683035714285714285,448,7,15090.00,448,100.00,0.15,-0.15
24-December-2020,33.85,34.50,32.20,32.20,32.736974262397991211,1593,17,52150.00,1593,100.00,2.30,-1.65
23-December-2020,31.10,33.85,31.05,33.85,31.480542986425339366,1105,9,34786.00,1105,100.00,2.80,2.75
22-December-2020,32.30,33.80,32.30,32.30,32.309278350515463917,1358,22,43876.00,1358,100.00,1.50,0.00
21-December-2020,36.35,36.35,33.75,33.95,33.950542437779195915,3134,24,106401.00,3134,100.00,2.60,-2.40
18-December-2020,36.00,36.00,33.60,35.45,34.721539721539721539,1221,10,42395.00,1221,100.00,2.40,-0.55
17-December-2020,35.75,35.75,34.00,35.35,35.283917775090689238,8270,19,291798.00,8270,100.00,1.75,-0.40
16-December-2020,34.90,35.80,34.90,35.50,35.689041095890410958,3650,9,130265.00,3650,100.00,0.90,0.60
15-December-2020,36.20,36.40,33.70,34.10,36.179391409425464132,9103,34,329341.00,9103,100.00,2.70,-2.10
14-December-2020,35.20,35.30,32.00,34.70,34.589103637193730025,13142,78,454570.00,13142,100.00,3.30,-0.50
11-December-2020,33.65,33.65,33.65,33.65,33.640000000000000000,50,1,1682.00,50,100.00,0.00,0.00
10-December-2020,32.30,32.40,32.20,32.20,32.333333333333333333,300,5,9700.00,300,100.00,0.20,-0.10
9-December-2020,33.90,33.90,32.30,32.30,33.440649149922720247,6470,20,216361.00,6470,100.00,1.60,-1.60
8-December-2020,32.30,32.30,32.30,32.30,32.300000000000000000,1450,8,46835.00,1450,100.00,0.00,0.00
7-December-2020,30.60,32.30,30.60,30.80,31.537037037037037037,1836,15,57902.00,1836,100.00,1.70,0.20
4-December-2020,32.30,32.30,31.00,31.20,31.242480620155038759,3225,13,100757.00,3225,100.00,1.30,-1.10
3-December-2020,32.30,32.30,30.80,32.30,32.289617486338797814,183,4,5909.00,183,100.00,1.50,0.00
2-December-2020,32.30,32.30,31.20,32.30,32.057331863285556780,907,5,29076.00,907,100.00,1.10,0.00
1-December-2020,30.80,30.80,30.80,30.80,30.799834915394139496,2423,11,74628.00,2423,100.00,0.00,0.00
27-November-2020,30.50,30.55,29.10,29.35,30.473134905295709315,2587,15,78834.00,2587,100.00,1.45,-1.15
26-November-2020,30.75,30.80,29.10,29.10,30.701384311140408701,1517,8,46574.00,1517,100.00,1.70,-1.65
25-November-2020,30.75,30.75,29.35,29.35,29.840909090909090909,1100,9,32825.00,1100,100.00,1.40,-1.40
24-November-2020,30.00,31.15,28.50,30.75,28.795202132385606397,2251,12,64818.00,2251,100.00,2.65,0.75
23-November-2020,30.00,30.00,30.00,30.00,30.000000000000000000,100,1,3000.00,100,100.00,0.00,0.00
20-November-2020,28.55,30.65,28.55,30.60,30.592079207920792079,505,4,15449.00,505,100.00,2.10,2.05
19-November-2020,29.25,29.25,28.55,29.20,29.174730107956817273,2501,13,72966.00,2501,100.00,0.70,-0.05
