Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,368.90,386.35,365.25,384.75,378.694667217858619264,48380,1837,18321248.00,16306,33.70,21.10,15.85
4-January-2021,368.50,374.60,362.65,372.40,369.578762776404569443,29938,919,11064449.00,9936,33.19,11.95,3.90
1-January-2021,364.65,369.90,358.45,365.40,365.801280350271991508,60296,2125,22056354.00,22055,36.58,11.45,0.75
31-December-2020,353.50,368.10,351.45,364.65,363.656473907609300944,80809,7479,29386716.00,39088,48.37,16.65,11.15
30-December-2020,356.70,356.70,350.00,352.55,352.533851590106007067,21225,1205,7482531.00,10889,51.30,6.70,-4.15
29-December-2020,353.80,363.15,350.60,357.05,357.211802400650375400,20911,1066,7469656.00,6176,29.53,12.55,3.25
28-December-2020,348.05,357.95,348.05,356.00,354.971564330177907105,27149,1519,9637123.00,17536,64.59,9.90,7.95
24-December-2020,349.80,355.05,345.10,350.45,350.371095598674869853,16904,674,5922673.00,5293,31.31,9.95,0.65
23-December-2020,333.00,346.50,330.90,344.85,341.682806476484194294,38910,2141,13294878.00,17467,44.89,15.60,11.85
22-December-2020,326.50,338.30,310.85,329.00,323.696230904513948756,28999,1321,9386867.00,9447,32.58,27.45,2.50
21-December-2020,360.50,361.50,331.45,336.25,350.519650833982213843,24401,981,8553030.00,12942,53.04,30.05,-24.25
18-December-2020,364.80,364.95,356.95,360.20,360.644215938303341902,9725,388,3507265.00,3972,40.84,8.00,-4.60
17-December-2020,360.55,368.50,360.55,364.75,364.924614669384543861,27963,1251,10204387.00,15971,57.11,7.95,4.20
16-December-2020,363.00,369.00,362.05,363.35,364.963291526460691342,9807,443,3579195.00,3740,38.14,6.95,0.35
15-December-2020,365.10,367.00,361.80,362.50,364.102551849373984516,10463,449,3809605.00,3392,32.42,5.20,-2.60
14-December-2020,367.00,371.00,363.95,365.10,367.490627081549148349,31527,1356,11585877.00,13783,43.72,7.05,-1.90
11-December-2020,372.00,373.45,364.00,366.40,368.865544187545315395,12413,714,4578728.00,4045,32.59,9.45,-5.60
10-December-2020,378.50,378.50,362.65,367.00,367.331933842239185750,15720,728,5774458.00,4398,27.98,15.85,-11.50
9-December-2020,356.05,378.80,356.05,371.85,371.291981279251170046,32050,1145,11899908.00,11394,35.55,22.75,15.80
8-December-2020,367.50,368.20,359.00,359.50,362.190669311151238862,33781,1667,12235163.00,18540,54.88,9.20,-8.00
7-December-2020,360.00,370.20,358.00,364.95,366.191789834809784524,42557,2077,15584024.00,18506,43.49,12.20,4.95
4-December-2020,360.00,365.80,358.05,359.90,361.985052820858619914,17796,1067,6441886.00,8488,47.70,7.75,-0.10
3-December-2020,362.65,366.30,358.20,361.75,363.347859855022437003,34764,1841,12631425.00,21066,60.60,8.10,-0.90
2-December-2020,363.00,365.95,359.05,363.25,361.876409626859279984,35027,2134,12675445.00,18772,53.59,6.90,0.25
1-December-2020,361.30,371.85,358.60,362.95,364.778654461728533722,35614,1798,12991227.00,9364,26.29,13.25,1.65
27-November-2020,341.00,369.80,339.80,361.30,355.321386974667572551,41212,1382,14643505.00,9796,23.77,30.00,20.30
26-November-2020,342.75,343.85,336.40,341.35,339.893100436681222707,5725,400,1945888.00,2150,37.55,7.45,-1.40
25-November-2020,348.00,349.00,336.70,341.80,341.058441007662076960,35369,1055,12062896.00,9223,26.08,12.30,-6.20
24-November-2020,340.10,349.60,335.00,343.95,343.266052578497949304,14873,900,5105396.00,4734,31.83,14.60,3.85
23-November-2020,340.20,343.40,334.10,336.85,337.021403947418267227,52794,3070,17792708.00,30977,58.68,9.30,-3.35
